source_id,family,modality,representation,task,policy,recipe,fold_id,n,accuracy,balanced_accuracy,macro_f1,majority_accuracy,true_0,true_1,pred_0,pred_1,tn,fp,fn,tp,one_class_pred,prob1_mean,prob1_std,prob1_q05,prob1_median,prob1_q95,brier,ece_10,best_threshold,best_threshold_macro_f1,best_threshold_balanced_accuracy,best_threshold_accuracy,best_threshold_pred_0,best_threshold_pred_1,threshold_macro_f1_gain,threshold_balanced_accuracy_gain,prediction_skew_abs
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,valence,midpoint_as_high,balanced_sampler_ce,2,352,0.5284090909090909,0.5300741918388978,0.5258220534294153,0.5795454545454546,148,204,178,174,80,68,98,106,False,,,,,,,,,,,,0,0,,,0.005681818181818177
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,valence,midpoint_as_high,balanced_sampler_ce,3,352,0.48295454545454547,0.5110752579745219,0.48213535098781,0.5994318181818182,141,211,225,127,92,49,133,78,False,,,,,,,,,,,,0,0,,,0.13920454545454547
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,valence,midpoint_as_high,balanced_sampler_ce,4,320,0.509375,0.4860323886639676,0.48545151015475374,0.59375,130,190,121,199,47,83,74,116,False,,,,,,,,,,,,0,0,,,0.12187499999999996
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,valence,midpoint_as_high,balanced_sampler_ce,5,320,0.559375,0.5453091905810041,0.5427598577204876,0.621875,121,199,138,182,59,62,79,120,False,,,,,,,,,,,,0,0,,,0.06874999999999998
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,valence,midpoint_as_high,balanced_sampler_ce,6,320,0.5375,0.543917936791395,0.5322191932361424,0.621875,121,199,165,155,69,52,96,103,False,,,,,,,,,,,,0,0,,,0.015625
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,valence,midpoint_as_high,ce_class_weighted,1,352,0.4744318181818182,0.48214226878850774,0.4743257533560975,0.5710227272727273,151,201,196,156,81,70,115,86,False,,,,,,,,,,,,0,0,,,0.05681818181818182
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,valence,midpoint_as_high,ce_class_weighted,2,352,0.5426136363636364,0.5451112877583466,0.540294778510533,0.5795454545454546,148,204,179,173,83,65,96,108,False,,,,,,,,,,,,0,0,,,0.008522727272727293
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,valence,midpoint_as_high,ce_class_weighted,3,352,0.5454545454545454,0.5267385970219488,0.5267385970219488,0.5994318181818182,141,211,141,211,61,80,80,131,False,,,,,,,,,,,,0,0,,,0.09943181818181823
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,valence,midpoint_as_high,ce_class_weighted,4,320,0.4875,0.4870445344129555,0.48295566502463055,0.59375,130,190,160,160,63,67,97,93,False,,,,,,,,,,,,0,0,,,0.0
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,valence,midpoint_as_high,ce_class_weighted,5,320,0.540625,0.5431911624236887,0.5336987876564994,0.621875,121,199,160,160,67,54,93,106,False,,,,,,,,,,,,0,0,,,0.0
