candidate_id,modality,task,fold,run_macro_f1,run_bal_acc,run_acc,pos_cov,n_predictions,prediction_accuracy,n_subjects,mean_subject_accuracy,std_subject_accuracy,min_subject_accuracy,hard_subject_count
A5_cross_subject_supcon_vrex,EEG,arousal,1,0.5394879045692045,0.5418437613258211,0.5426136363636364,1.0,352,0.5426136363636364,11,0.5426136363636364,0.09193315259173127,0.375,1
A5_cross_subject_supcon_vrex,EEG,arousal,2,0.5442628256999514,0.5463008329250367,0.5454545454545454,1.0,352,0.5454545454545454,11,0.5454545454545454,0.10209106340553382,0.40625,4
A5_cross_subject_supcon_vrex,EEG,arousal,3,0.5282720315174217,0.5282720315174217,0.5284090909090909,1.0,352,0.5284090909090909,11,0.5284090909090909,0.08438026077875625,0.40625,1
A5_cross_subject_supcon_vrex,EEG,arousal,4,0.4895033031563494,0.4905418719211822,0.490625,1.0,320,0.490625,10,0.490625,0.1640749003250243,0.28125,4
A5_cross_subject_supcon_vrex,EEG,arousal,5,0.5236546101598005,0.5241176470588236,0.528125,1.0,320,0.528125,10,0.528125,0.09821541305269305,0.375,1
A5_cross_subject_supcon_vrex,EEG,arousal,6,0.5166739536547558,0.5233482364629906,0.525,1.0,320,0.525,10,0.525,0.08436856971381912,0.375,1
A5_cross_subject_supcon_vrex,EMG,valence,1,0.4704343275771847,0.470626997463016,0.4772727272727273,1.0,352,0.4772727272727273,11,0.4772727272727273,0.07916915865296399,0.34375,4
A5_cross_subject_supcon_vrex,EMG,valence,2,0.4573469470115824,0.4678722840487546,0.4573863636363636,1.0,352,0.45738636363636365,11,0.45738636363636365,0.11880979355867319,0.25,5
A5_cross_subject_supcon_vrex,EMG,valence,3,0.5082576984718759,0.5090417128836006,0.5369318181818182,1.0,352,0.5369318181818182,11,0.5369318181818182,0.0824646963031068,0.375,2
A5_cross_subject_supcon_vrex,EMG,valence,4,0.4937853107344633,0.4997975708502024,0.496875,1.0,320,0.496875,10,0.496875,0.12364719354769935,0.25,3
A5_cross_subject_supcon_vrex,EMG,valence,5,0.5215078067948673,0.5317288923958636,0.596875,1.0,320,0.596875,10,0.596875,0.09598041249824536,0.40625,2
A5_cross_subject_supcon_vrex,EMG,valence,6,0.518446754728487,0.5329747913119316,0.521875,1.0,320,0.521875,10,0.521875,0.09996744261675064,0.375,2
A5_cross_subject_supcon_vrex,EMG,arousal,1,0.5808430118752447,0.582451978518006,0.5852272727272727,1.0,352,0.5852272727272727,11,0.5852272727272727,0.10466735728878503,0.4375,1
A5_cross_subject_supcon_vrex,EMG,arousal,2,0.5178877887788779,0.5185040013065492,0.5284090909090909,1.0,352,0.5284090909090909,11,0.5284090909090909,0.09828067413836207,0.40625,3
A5_cross_subject_supcon_vrex,EMG,arousal,3,0.5139701104613386,0.5185520069751671,0.5170454545454546,1.0,352,0.5170454545454546,11,0.5170454545454546,0.06459555114148904,0.375,1
A5_cross_subject_supcon_vrex,EMG,arousal,4,0.496634131566863,0.4992118226600985,0.496875,1.0,320,0.496875,10,0.496875,0.17582271887393341,0.1875,5
A5_cross_subject_supcon_vrex,EMG,arousal,5,0.5012626262626263,0.5145098039215685,0.50625,1.0,320,0.50625,10,0.50625,0.12129938856674696,0.21875,2
A5_cross_subject_supcon_vrex,EMG,arousal,6,0.507502885725279,0.5089418777943368,0.55,1.0,320,0.55,10,0.55,0.10744830798523022,0.375,2
