target,subject_id,k_calibration,repeat,model,eval_n,calibration_n,calibration_stimuli,tau2_train_subject_residual,sigma2_train_within_residual,fold_rmse,fold_mae,fold_pearson
valence,1,1,7,bias_shrink2,31,1,9220,0.13735170717592593,1.5977360488290984,1.4426596672009298,1.153609831029186,0.8883716337975374
valence,1,1,7,bias_shrink4,31,1,9220,0.13735170717592593,1.5977360488290984,1.368401036120273,1.1087557603686637,0.8883716337975376
valence,1,1,7,bias_shrink8,31,1,9220,0.13735170717592593,1.5977360488290984,1.3240509062214898,1.0849974398361495,0.8883716337975374
valence,1,1,7,bias_empirical_bayes,31,1,9220,0.13735170717592593,1.5977360488290984,1.3092177508594351,1.0777829539695447,0.8883716337975374
valence,1,1,7,bias_median,31,1,9220,0.13735170717592593,1.5977360488290984,1.9126755729260358,1.5990783410138247,0.8883716337975374
valence,1,1,7,bias_huber,31,1,9220,0.13735170717592593,1.5977360488290984,1.9126755729260358,1.5990783410138247,0.8883716337975374
valence,1,1,7,bias_trimmed_mean,31,1,9220,0.13735170717592593,1.5977360488290984,1.9126755729260358,1.5990783410138247,0.8883716337975374
valence,1,1,7,affine_residual_ridge1,31,1,9220,0.13735170717592593,1.5977360488290984,1.9126755729260358,1.5990783410138247,0.8883716337975374
valence,1,1,7,affine_residual_ridge4,31,1,9220,0.13735170717592593,1.5977360488290984,1.9126755729260358,1.5990783410138247,0.8883716337975374
valence,1,1,7,kernel_residual_shrink4,31,1,9220,0.13735170717592593,1.5977360488290984,1.320046095647962,1.092551476353086,0.8887661441769183
valence,1,1,8,stimulus_only,31,1,4220,0.13735170717592593,1.5977360488290984,1.2504113872087683,1.0368663594470047,0.8887304813605645
valence,1,1,8,bias_mean,31,1,4220,0.13735170717592593,1.5977360488290984,1.7415270288925744,1.4423963133640554,0.8887304813605645
valence,1,1,8,bias_shrink1,31,1,4220,0.13735170717592593,1.5977360488290984,1.2504113872087685,1.0184331797235024,0.8887304813605645
valence,1,1,8,bias_shrink2,31,1,4220,0.13735170717592593,1.5977360488290984,1.1833272291039818,0.9723502304147464,0.8887304813605649
valence,1,1,8,bias_shrink4,31,1,4220,0.13735170717592593,1.5977360488290984,1.177795443465932,0.9852534562211981,0.8887304813605649
valence,1,1,8,bias_shrink8,31,1,4220,0.13735170717592593,1.5977360488290984,1.198559347832734,1.0061443932411673,0.8887304813605649
valence,1,1,8,bias_empirical_bayes,31,1,4220,0.13735170717592593,1.5977360488290984,1.2106303803173715,1.0149784575676224,0.8887304813605645
valence,1,1,8,bias_median,31,1,4220,0.13735170717592593,1.5977360488290984,1.7415270288925744,1.4423963133640554,0.8887304813605645
valence,1,1,8,bias_huber,31,1,4220,0.13735170717592593,1.5977360488290984,1.7415270288925744,1.4423963133640554,0.8887304813605645
valence,1,1,8,bias_trimmed_mean,31,1,4220,0.13735170717592593,1.5977360488290984,1.7415270288925744,1.4423963133640554,0.8887304813605645
valence,1,1,8,affine_residual_ridge1,31,1,4220,0.13735170717592593,1.5977360488290984,1.7415270288925744,1.4423963133640554,0.8887304813605645
valence,1,1,8,affine_residual_ridge4,31,1,4220,0.13735170717592593,1.5977360488290984,1.7415270288925744,1.4423963133640554,0.8887304813605645
valence,1,1,8,kernel_residual_shrink4,31,1,4220,0.13735170717592593,1.5977360488290984,1.1702166268521612,1.0218608185658888,0.8890523930587035
valence,1,1,9,stimulus_only,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.283664520702996,1.0737327188940093,0.8857025134710108
valence,1,1,9,bias_mean,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.5963668427946605,1.2949308755760365,0.8857025134710111
valence,1,1,9,bias_shrink1,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.420020491465422,1.1474654377880185,0.8857025134710109
valence,1,1,9,bias_shrink2,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.36946330428719,1.119815668202765,0.8857025134710109
valence,1,1,9,bias_shrink4,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.3325420078800432,1.0995391705069124,0.8857025134710111
valence,1,1,9,bias_shrink8,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.3098131536538091,1.0880696364567333,0.8857025134710109
valence,1,1,9,bias_empirical_bayes,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.3020308214902883,1.0839470731043876,0.8857025134710109
valence,1,1,9,bias_median,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.5963668427946605,1.2949308755760365,0.8857025134710111
