target,k_calibration,model,locked_reference_model,subjects,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_ties_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
valence,8,bias_shrink2,bias_shrink4,63,4,59,0,-55,0.011359467364901697,0.011937262474724708,0.028123452893679124,-0.011274382642085135
valence,8,bias_shrink4,bias_shrink4,63,0,0,63,0,0.0,0.0,0.0,0.0
valence,8,bias_shrink8,bias_shrink4,63,52,11,0,41,-0.0084312550918528,-0.011268563464435832,0.03786539579861081,-0.029912132048234286
valence,8,bias_trimmed_mean,bias_shrink4,63,2,61,0,-59,0.04382952420183312,0.041043807055470394,0.11459217848878955,-0.01676330992172037
valence,8,kernel_residual_shrink4,bias_shrink4,63,45,18,0,27,-0.06790528432434383,-0.03580221010910156,0.04864322709195745,-0.4583296918797162
valence,8,stimulus_only,bias_shrink4,63,41,22,0,19,0.0042180242386721245,-0.021666063118083168,0.28813757043331156,-0.08190087727166806
valence,16,affine_residual_ridge1,bias_shrink4,63,36,27,0,9,-0.07775424853056485,-0.0221355155056826,0.11001835006270277,-0.8009071892935873
valence,16,affine_residual_ridge4,bias_shrink4,63,37,26,0,11,-0.0797810243807346,-0.024543021715644375,0.1052560890011558,-0.7988239285312635
valence,16,bias_empirical_bayes,bias_shrink4,63,52,11,0,41,-0.004925861100830367,-0.007472711538712762,0.02594342913924952,-0.017266087704616018
valence,16,bias_huber,bias_shrink4,63,4,59,0,-55,0.015367520259368056,0.015502730211493287,0.04765874390428215,-0.013870319838867218
valence,16,bias_mean,bias_shrink4,63,2,61,0,-59,0.011955907270840444,0.012275285465951136,0.022715175460951587,-0.004204914035952134
valence,16,bias_median,bias_shrink4,63,11,52,0,-41,0.03365339434370313,0.029613118365408253,0.1320136909635734,-0.03511891266404987
valence,16,bias_shrink1,bias_shrink4,63,2,61,0,-59,0.007786132651249768,0.007989259627866785,0.015809560681637524,-0.005119819809765724
valence,16,bias_shrink2,bias_shrink4,63,4,59,0,-55,0.004535041489140091,0.004802872981418904,0.009827585828273477,-0.0044257363031847685
valence,16,bias_shrink4,bias_shrink4,63,0,0,63,0,0.0,0.0,0.0,0.0
valence,16,bias_shrink8,bias_shrink4,63,54,9,0,45,-0.004448968154639361,-0.0058418247105590515,0.014189835920460858,-0.013921549610117934
valence,16,bias_trimmed_mean,bias_shrink4,63,4,59,0,-55,0.018041305423791287,0.017677590258092124,0.04936062429723487,-0.017859554961485724
valence,16,kernel_residual_shrink4,bias_shrink4,63,43,20,0,23,-0.09141381954888458,-0.05039891664996532,0.062036078427478714,-0.6058798051063682
valence,16,stimulus_only,bias_shrink4,63,39,24,0,15,0.014205286867318966,-0.014890607793494715,0.2979152562983429,-0.06808112094014618
