target,k_calibration,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,auroc,n_low,n_high,true_high_rate,pred_high_rate,lift_vs_stimulus_accuracy,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc
valence,1,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,12400,0.8812096774193549,0.8873112393479401,0.8811802931884007,0.9432405099638924,6772,5628,0.45387096774193547,0.5304032258064516,-0.0021774193548387277,-0.002323680307432463,-0.0021827692157954104,0.0005559809592656784
valence,1,stimulus_plus_fewshot_bias_shrink4,midpoint_as_high,12400,0.9278225806451613,0.9296332182887421,0.9272718975105986,0.969765729892305,5511,6889,0.5555645161290322,0.5314516129032258,-0.002258064516128977,-0.002250003220047425,-0.002271299620907441,-0.00031585438895365137
valence,1,stimulus_plus_fewshot_bias_shrink4,discard_midpoint,11139,0.9502648352634886,0.9502310556247459,0.9502561720011732,0.9780522143668985,5511,5628,0.5052518179369782,0.5079450579046593,-0.002513690636502419,-0.002498878962369888,-0.0025122400758451624,-0.0003342800733093787
valence,2,stimulus_only,midpoint_as_low,12000,0.8825833333333334,0.8889055992573329,0.8825589243475472,0.9424202343132067,6557,5443,0.45358333333333334,0.532,0.0,0.0,0.0,0.0
valence,2,stimulus_only,midpoint_as_high,12000,0.9288333333333333,0.9305226574889496,0.9282905646169188,0.9691083780409623,5340,6660,0.555,0.532,0.0,0.0,0.0,0.0
valence,2,stimulus_only,discard_midpoint,10783,0.9514977279050357,0.9514445761005614,0.9514873121609488,0.9775676899374588,5340,5443,0.5047760363535194,0.5098766577019382,0.0,0.0,0.0,0.0
valence,2,stimulus_plus_fewshot_bias,midpoint_as_low,12000,0.8641666666666666,0.8693846308986577,0.8640850837381805,0.9310137523794997,6557,5443,0.45358333333333334,0.5219166666666667,-0.018416666666666748,-0.019520968358675228,-0.018473840609366743,-0.011406481933706969
valence,2,stimulus_plus_fewshot_bias,midpoint_as_high,12000,0.9019166666666667,0.9036010729830954,0.9012182792147306,0.9589525902306801,5340,6660,0.555,0.5290833333333333,-0.02691666666666659,-0.026921584505854135,-0.0270722854021882,-0.010155787810282146
valence,2,stimulus_plus_fewshot_bias,discard_midpoint,10783,0.9254381897431142,0.9254367015050771,0.9254321555966576,0.9698117569829923,5340,5443,0.5047760363535194,0.5042196049336919,-0.026059538161921525,-0.02600787459548437,-0.02605515656429125,-0.007755932954466527
valence,2,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,12000,0.8803333333333333,0.8866594502158336,0.8803093120772154,0.9440465975792321,6557,5443,0.45358333333333334,0.53225,-0.0022500000000000853,-0.0022461490414993346,-0.0022496122703318244,0.001626363266025499
valence,2,stimulus_plus_fewshot_bias_shrink4,midpoint_as_high,12000,0.92725,0.9288178628066268,0.9266833103577146,0.9689950624782085,5340,6660,0.555,0.5329166666666667,-0.00158333333333327,-0.0017047946823227633,-0.0016072542592042716,-0.00011331556275373522
valence,2,stimulus_plus_fewshot_bias_shrink4,discard_midpoint,10783,0.9493647407956969,0.9493122802816523,0.9493540042343793,0.9773296251722826,5340,5443,0.5047760363535194,0.509783919131967,-0.0021329871093388464,-0.002132295818909169,-0.0021333079265695165,-0.00023806476517618247
valence,4,stimulus_only,midpoint_as_low,11200,0.881875,0.8883704804836692,0.8818468095756042,0.9416682593768803,6130,5070,0.45267857142857143,0.531875,0.0,0.0,0.0,0.0
