target,block,k_calibration,model,subjects,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_ties_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
valence,emg_bsl_stats_22,4,physio_context_ridge100,63,19,44,0,-25,0.6669301879772421,0.03231963970571705,37.97081817291797,-0.06044776817163511
valence,emg_bsl_stats_22,4,physio_context_ridge1000,63,11,52,0,-41,0.3936572309365738,0.22372150279376402,10.854088952687459,-0.36635954427075035
valence,emg_bsl_stats_22,4,physio_residual_ridge100,63,22,41,0,-19,0.6446867812475601,0.033888781735613493,36.77378028303389,-0.0588105061294939
valence,emg_bsl_stats_22,4,physio_residual_ridge1000,63,23,40,0,-17,0.18771018582352522,0.02792448850705609,9.251252760804926,-0.05675009531017938
valence,emg_bsl_stats_22,4,physio_similarity_knn64,63,19,44,0,-25,0.04765185700936632,0.03867220669189719,0.31779450975587986,-0.07699082624624021
valence,emg_bsl_stats_22,8,physio_context_ridge100,63,19,44,0,-25,0.713462941582903,0.05828111152198434,39.29151581728128,-0.06047442267964831
valence,emg_bsl_stats_22,8,physio_context_ridge1000,63,10,53,0,-43,0.4262697064401034,0.23434165747409708,11.363645832503426,-0.24248469972117992
valence,emg_bsl_stats_22,8,physio_residual_ridge100,63,18,45,0,-27,0.6908364003934263,0.04849513924872362,38.05844455396561,-0.07267674809865876
valence,emg_bsl_stats_22,8,physio_residual_ridge1000,63,19,44,0,-25,0.2210247527124699,0.04635481515754791,9.707779246869094,-0.06265249045327304
valence,emg_bsl_stats_22,8,physio_similarity_knn64,63,17,46,0,-29,0.07590160201358358,0.056177233729511,0.4842016270850704,-0.09332660250515135
valence,emg_bsl_stats_22,16,physio_context_ridge100,63,16,47,0,-31,0.7031927424538791,0.08675710829647754,36.533000847594764,-0.058101114112734775
valence,emg_bsl_stats_22,16,physio_context_ridge1000,63,8,55,0,-47,0.4482646969008736,0.23489921388581236,10.599377200191492,-0.14195115858143215
valence,emg_bsl_stats_22,16,physio_residual_ridge100,63,16,47,0,-31,0.6817176990835612,0.08051629628774304,35.38822998188478,-0.07323241586245643
valence,emg_bsl_stats_22,16,physio_residual_ridge1000,63,15,48,0,-33,0.24352228487014574,0.07850427443463714,9.067458332050704,-0.06828727349260078
valence,emg_bsl_stats_22,16,physio_similarity_knn64,63,13,50,0,-37,0.11086874295893102,0.08459745756659576,0.6667009737563543,-0.09159647577033359
valence,emg_existing_22,4,physio_context_ridge100,63,19,44,0,-25,0.13685272114911756,0.028352414848441088,5.6320688352965345,-0.09166651257899261
valence,emg_existing_22,4,physio_context_ridge1000,63,14,49,0,-35,0.2873723660804813,0.22948202233381432,4.812840179799296,-0.38972572124499905
valence,emg_existing_22,4,physio_residual_ridge100,63,20,43,0,-23,0.12910296686723338,0.03149741410157669,5.253812318792384,-0.07916099792440878
valence,emg_existing_22,4,physio_residual_ridge1000,63,20,43,0,-23,0.13871053518981,0.028953978441730532,5.965786228751915,-0.07773548810034625
valence,emg_existing_22,4,physio_similarity_knn64,63,19,44,0,-25,0.051914599390132064,0.043073857568052265,0.3506352037420257,-0.09677362838137982
valence,emg_existing_22,8,physio_context_ridge100,63,19,44,0,-25,0.1566907197818558,0.04775041937883606,5.064819462878635,-0.07592218349848912
valence,emg_existing_22,8,physio_context_ridge1000,63,12,51,0,-39,0.30964041465315856,0.22503194846029917,4.337600647643461,-0.232051616717043
valence,emg_existing_22,8,physio_residual_ridge100,63,18,45,0,-27,0.14942832645598372,0.06140535658440083,4.722224574423635,-0.08344107203949425
valence,emg_existing_22,8,physio_residual_ridge1000,63,19,44,0,-25,0.15793919692002123,0.05625764159316704,5.3670309208679825,-0.08431602168255425
valence,emg_existing_22,8,physio_similarity_knn64,63,15,48,0,-33,0.08109078549737299,0.05452132889698369,0.5212759762005195,-0.12704437758642584
valence,emg_existing_22,16,physio_context_ridge100,63,18,45,0,-27,0.19549238113141956,0.07645233116567218,5.477144093337813,-0.06826151892915422
valence,emg_existing_22,16,physio_context_ridge1000,63,8,55,0,-47,0.3456577526218855,0.23178482001007983,4.691711108076077,-0.12500869519015212
valence,emg_existing_22,16,physio_residual_ridge100,63,14,49,0,-35,0.18809085096811776,0.08031638835816024,5.111716068220233,-0.08682728210521629
valence,emg_existing_22,16,physio_residual_ridge1000,63,17,46,0,-29,0.19769197748751816,0.08313723045882915,5.798676800746121,-0.08183967220755584
valence,emg_existing_22,16,physio_similarity_knn64,63,15,48,0,-33,0.11408894648741,0.08501325213381095,0.6884563149397215,-0.12463408153820499
valence,emg_lagged_interaction_experimental,4,physio_context_ridge100,63,20,43,0,-23,0.04505103795865511,0.02140299362241005,0.38838569679326373,-0.06713477880750118
valence,emg_lagged_interaction_experimental,4,physio_context_ridge1000,63,15,48,0,-33,0.21531358709304582,0.22051146750230344,0.8995146638858083,-0.37073069509431367
valence,emg_lagged_interaction_experimental,4,physio_residual_ridge100,63,17,46,0,-29,0.042699299759232354,0.01803772551086591,0.31063803121812916,-0.05570470134563843
valence,emg_lagged_interaction_experimental,4,physio_residual_ridge1000,63,17,46,0,-29,0.04218143892261254,0.017246121448613705,0.30650730484697397,-0.05579630193095708
valence,emg_lagged_interaction_experimental,4,physio_similarity_knn64,63,17,46,0,-29,0.055218044582384405,0.028802951416686318,0.3237814999534494,-0.050268683514078205
valence,emg_lagged_interaction_experimental,8,physio_context_ridge100,63,18,45,0,-27,0.07397607579115945,0.05665040060278592,0.567401900129362,-0.07795646484094854
valence,emg_lagged_interaction_experimental,8,physio_context_ridge1000,63,12,51,0,-39,0.2413981797591504,0.22545645136152537,1.071376807864188,-0.2209973555074385
valence,emg_lagged_interaction_experimental,8,physio_residual_ridge100,63,18,45,0,-27,0.07196079256768288,0.049810491763593756,0.4908320272111215,-0.09024634273847876
valence,emg_lagged_interaction_experimental,8,physio_residual_ridge1000,63,18,45,0,-27,0.0714368972520415,0.05088730891144644,0.4866594933580146,-0.0904632409878221
valence,emg_lagged_interaction_experimental,8,physio_similarity_knn64,63,15,48,0,-33,0.0843197874122465,0.04575490495372958,0.5043017096342355,-0.08813855015057315
valence,emg_lagged_interaction_experimental,16,physio_context_ridge100,63,17,46,0,-29,0.10748090446436148,0.0775670183372088,0.7675596314959049,-0.07628462763567279
valence,emg_lagged_interaction_experimental,16,physio_context_ridge1000,63,10,53,0,-43,0.275181218825457,0.21842250276193376,1.2751150707894805,-0.13633395513185842
valence,emg_lagged_interaction_experimental,16,physio_residual_ridge100,63,16,47,0,-31,0.1055411259862886,0.08110675299896242,0.690493219042288,-0.07887645843400692
valence,emg_lagged_interaction_experimental,16,physio_residual_ridge1000,63,15,48,0,-33,0.10504114860066266,0.08222386300623341,0.6863915234742014,-0.0806872093320774
valence,emg_lagged_interaction_experimental,16,physio_similarity_knn64,63,12,51,0,-39,0.11764005977654417,0.07977331614323191,0.7020222283659127,-0.07904557622287811
