target,block,test_subject,k_calibration,repeat,alpha,calibration_n,eval_n,bias_raw,bias_shrink,physio_pred_std_eval
arousal,emg_lagged_interaction_experimental,2,4,5,1000.0,4,28,1.8333333333333333,0.9166666666666666,0.02591038584935957
arousal,emg_lagged_interaction_experimental,2,4,6,1000.0,4,28,3.5833333333333335,1.7916666666666667,0.026839919420012168
arousal,emg_lagged_interaction_experimental,2,4,7,1000.0,4,28,2.166666666666667,1.0833333333333335,0.0261932197318277
arousal,emg_lagged_interaction_experimental,2,4,8,1000.0,4,28,1.1666666666666667,0.5833333333333334,0.026196460739099356
arousal,emg_lagged_interaction_experimental,2,4,9,1000.0,4,28,4.166666666666667,2.0833333333333335,0.026547566614167892
arousal,emg_lagged_interaction_experimental,2,4,10,1000.0,4,28,2.416666666666667,1.2083333333333335,0.02568688382955628
arousal,emg_lagged_interaction_experimental,2,4,11,1000.0,4,28,1.666666666666667,0.8333333333333335,0.025798954707072913
arousal,emg_lagged_interaction_experimental,2,4,12,1000.0,4,28,1.3333333333333335,0.6666666666666667,0.026748474364678768
arousal,emg_lagged_interaction_experimental,2,4,13,1000.0,4,28,2.916666666666667,1.4583333333333335,0.02591831904074166
arousal,emg_lagged_interaction_experimental,2,4,14,1000.0,4,28,3.3333333333333335,1.6666666666666667,0.02648584421345003
arousal,emg_lagged_interaction_experimental,2,4,15,1000.0,4,28,2.75,1.375,0.025974731351177047
arousal,emg_lagged_interaction_experimental,2,4,16,1000.0,4,28,1.4166666666666667,0.7083333333333334,0.026460686835325476
arousal,emg_lagged_interaction_experimental,2,4,17,1000.0,4,28,2.916666666666667,1.4583333333333335,0.02185839081859404
arousal,emg_lagged_interaction_experimental,2,4,18,1000.0,4,28,2.333333333333333,1.1666666666666665,0.02685354408427665
arousal,emg_lagged_interaction_experimental,2,4,19,1000.0,4,28,1.25,0.625,0.024520356306127384
arousal,emg_lagged_interaction_experimental,2,16,0,1000.0,16,16,2.3958333333333335,1.916666666666667,0.021179680159028127
arousal,emg_lagged_interaction_experimental,2,16,1,1000.0,16,16,2.375,1.9000000000000001,0.017083869013021415
arousal,emg_lagged_interaction_experimental,2,16,2,1000.0,16,16,2.520833333333334,2.016666666666667,0.026425159216765286
arousal,emg_lagged_interaction_experimental,2,16,3,1000.0,16,16,1.9375000000000002,1.5500000000000003,0.026009059485663334
arousal,emg_lagged_interaction_experimental,2,16,4,1000.0,16,16,2.1875,1.75,0.029163193948696847
arousal,emg_lagged_interaction_experimental,2,16,5,1000.0,16,16,1.75,1.4000000000000001,0.022936075355478827
arousal,emg_lagged_interaction_experimental,2,16,6,1000.0,16,16,2.604166666666667,2.0833333333333335,0.02018723746344328
arousal,emg_lagged_interaction_experimental,2,16,7,1000.0,16,16,2.041666666666667,1.6333333333333337,0.030107878018682508
arousal,emg_lagged_interaction_experimental,2,16,8,1000.0,16,16,2.7083333333333335,2.166666666666667,0.02488660166573434
arousal,emg_lagged_interaction_experimental,2,16,9,1000.0,16,16,2.104166666666667,1.6833333333333336,0.030291752685137882
arousal,emg_lagged_interaction_experimental,2,16,10,1000.0,16,16,2.416666666666667,1.9333333333333336,0.028263139346125635
arousal,emg_lagged_interaction_experimental,2,16,11,1000.0,16,16,2.791666666666667,2.233333333333334,0.024913979463215427
arousal,emg_lagged_interaction_experimental,2,16,12,1000.0,16,16,1.8958333333333335,1.5166666666666668,0.027414919172891142
arousal,emg_lagged_interaction_experimental,2,16,13,1000.0,16,16,2.1875,1.75,0.029274794532051354
arousal,emg_lagged_interaction_experimental,2,16,14,1000.0,16,16,2.333333333333333,1.8666666666666665,0.025330051667501394
arousal,emg_lagged_interaction_experimental,2,16,15,1000.0,16,16,2.104166666666667,1.6833333333333336,0.018711270819999872
arousal,emg_lagged_interaction_experimental,2,16,16,1000.0,16,16,2.583333333333333,2.0666666666666664,0.02518130122714261
arousal,emg_lagged_interaction_experimental,2,16,17,1000.0,16,16,2.3958333333333335,1.916666666666667,0.017983964328605412
arousal,emg_lagged_interaction_experimental,2,16,18,1000.0,16,16,2.104166666666667,1.6833333333333336,0.025093971210240814
arousal,emg_lagged_interaction_experimental,2,16,19,1000.0,16,16,2.3541666666666665,1.8833333333333333,0.026760805405952506
arousal,emg_lagged_interaction_experimental,3,0,0,10.0,0,32,0.0,0.0,0.17079227900531743
arousal,emg_lagged_interaction_experimental,3,4,0,10.0,4,28,-0.8333333333333334,-0.4166666666666667,0.16610422457173998
arousal,emg_lagged_interaction_experimental,3,4,1,10.0,4,28,-1.7499999999999996,-0.8749999999999998,0.1586918743317207
arousal,emg_lagged_interaction_experimental,3,4,2,10.0,4,28,-1.333333333333333,-0.6666666666666665,0.16054610647918585
arousal,emg_lagged_interaction_experimental,3,4,3,10.0,4,28,-1.0000000000000002,-0.5000000000000001,0.16396341813781487
arousal,emg_lagged_interaction_experimental,3,4,4,10.0,4,28,-2.416666666666666,-1.208333333333333,0.15932426734063887
arousal,emg_lagged_interaction_experimental,3,4,5,10.0,4,28,-2.833333333333333,-1.4166666666666665,0.17414919376178079
arousal,emg_lagged_interaction_experimental,3,4,6,10.0,4,28,-1.6666666666666665,-0.8333333333333333,0.15054001560933358
arousal,emg_lagged_interaction_experimental,3,4,7,10.0,4,28,-2.0,-1.0,0.1734888344642842
arousal,emg_lagged_interaction_experimental,3,4,8,10.0,4,28,-2.4166666666666665,-1.2083333333333333,0.16326062855539
