target,model,test_subject,n,mae,rmse,pearson,spearman,ccc,accuracy,balanced_accuracy,macro_f1,auroc
arousal,global_mean,57,32,1.71875,2.1508534714310774,,,0.0,0.75,0.5,0.42857142857142855,0.5
arousal,global_mean,58,32,2.3612021169354835,2.5900822518744504,,,0.0,0.75,0.5,0.42857142857142855,0.5
arousal,global_mean,59,32,2.280115927419355,2.496283658156081,,,0.0,0.40625,0.5,0.28888888888888886,0.5
arousal,global_mean,60,32,3.209173387096774,3.434229477186565,,,0.0,0.4375,0.5,0.30434782608695654,0.5
arousal,global_mean,61,32,2.7659085181451615,3.0357980061419343,,,0.0,0.75,0.5,0.42857142857142855,0.5
arousal,global_mean,62,32,2.9106287802419355,3.124556786012586,,,0.0,0.65625,0.5,0.39622641509433965,0.5
arousal,global_mean,63,32,2.921875,3.1991209730174317,,,0.0,0.65625,0.5,0.39622641509433965,0.5
arousal,global_mean,64,32,2.0625,2.334716211670727,,,0.0,0.65625,0.5,0.39622641509433965,0.5
arousal,global_mean,65,32,3.0904737903225805,3.246647644682139,,,0.0,0.75,0.5,0.42857142857142855,0.5
arousal,stimulus_only,1,32,1.5544354838709677,1.8757326005488377,0.6396747039031424,0.6336280762871853,0.591079851242668,0.75,0.7166666666666667,0.722943722943723,0.7416666666666667
arousal,stimulus_only,2,32,2.326108870967742,2.7325131631493744,0.7271361956690021,0.7829385631311458,0.42266217010456714,0.625,0.7272727272727273,0.625,0.8363636363636363
arousal,stimulus_only,3,32,1.645665322580645,1.8533457350509737,0.6357247908214484,0.6344455352961016,0.4801594393110361,0.71875,0.8548387096774194,0.5060034305317325,0.9193548387096774
arousal,stimulus_only,5,32,1.4047379032258065,1.7548362080449436,0.6946450633141555,0.7385488473019087,0.6057032951047436,0.75,0.7777777777777778,0.746031746031746,0.8353174603174603
arousal,stimulus_only,6,32,3.337701612903226,3.7325121194933057,0.3170827001100329,0.38138344258506085,0.09466720235279265,0.375,0.6666666666666666,0.3333333333333333,0.5333333333333333
arousal,stimulus_only,7,32,1.3487903225806452,1.6252851346734933,0.664034725547573,0.6860438597275036,0.42976028247690273,0.6875,0.6875,0.4074074074074074,
arousal,stimulus_only,8,32,1.7182459677419355,1.9187893074403857,0.7647247061481831,0.7852355977697068,0.6275582319326556,0.8125,0.7916666666666667,0.7681159420289855,0.8958333333333334
arousal,stimulus_only,9,32,1.6965725806451613,2.170411362822948,0.4570923493746102,0.46956461195453625,0.38491407323313337,0.65625,0.6686274509803922,0.6476476476476476,0.7568627450980392
arousal,stimulus_only,10,32,1.4380040322580645,1.7173703785641625,0.7545455569743079,0.6583096352466759,0.681165922336731,0.90625,0.8852813852813852,0.893687707641196,0.8982683982683982
arousal,stimulus_only,11,32,1.6718749999999998,2.026535642212376,0.4276580639736072,0.4359750912602661,0.3926659461331032,0.59375,0.5607287449392713,0.5588547189819725,0.5850202429149798
arousal,stimulus_only,12,32,1.0922379032258065,1.3301654805004859,0.6670130773110609,0.6063847547898518,0.5895021197479596,0.84375,0.8236714975845411,0.8128654970760234,0.9396135265700483
arousal,stimulus_only,13,32,2.081149193548387,2.4172453841383996,0.555088672893651,0.4724337435465743,0.28013380840659313,0.6875,0.6875,0.4074074074074074,
